account_id,person_id,bank_name,branch_city,account_type,opening_date
ACC0001,P0993,Bharat Urban Bank,Ahmedabad,Current,2019-11-08
ACC0002,P0212,Vindhya Rural Bank,Hyderabad,Savings,2024-11-09
ACC0003,P0361,National Cooperative Bank,Chandigarh,Savings,2020-12-28
ACC0004,P0250,Saraswati Finance Bank,Gurugram,Savings,2015-03-10
ACC0005,P0591,Vindhya Rural Bank,Mumbai,Current,2019-02-13
ACC0006,P0850,Bharat Urban Bank,Chandigarh,Current,2015-06-23
ACC0007,P0902,National Cooperative Bank,Pune,Savings,2021-09-07
ACC0008,P0494,Vindhya Rural Bank,Kolkata,Savings,2023-11-28
ACC0009,P0886,Bharat Urban Bank,Bhubaneswar,Current,2016-09-19
ACC0010,P0891,National Cooperative Bank,Ludhiana,Current,2023-02-07
ACC0011,P0533,Suvidha Nagrik Bank,Hyderabad,Savings,2017-03-27
ACC0012,P0954,Bharat Urban Bank,Hyderabad,Savings,2020-11-24
ACC0013,P0105,Bharat Urban Bank,Bhubaneswar,Savings,2021-10-20
ACC0014,P0010,Bharat Urban Bank,Amritsar,Current,2022-01-19
ACC0015,P0343,Saraswati Finance Bank,Patna,Savings,2023-05-19
ACC0016,P0028,Vindhya Rural Bank,Patna,Savings,2019-10-16
ACC0017,P0572,Suvidha Nagrik Bank,Jaipur,Current,2020-12-13
ACC0018,P0531,Himgiri Commercial Bank,Noida,Savings,2016-03-04
ACC0019,P0833,Himgiri Commercial Bank,Kolkata,Savings,2024-02-29
ACC0020,P0406,Suvidha Nagrik Bank,Jaipur,Savings,2018-01-22
ACC0021,P0444,Saraswati Finance Bank,Delhi,Current,2024-10-31
ACC0022,P0139,Bharat Urban Bank,Chennai,Savings,2016-03-02
ACC0023,P0480,National Cooperative Bank,Chandigarh,Current,2021-05-18
ACC0024,P0009,Vindhya Rural Bank,Dehradun,Savings,2021-07-04
ACC0025,P0908,Vindhya Rural Bank,Ghaziabad,Savings,2024-06-19
ACC0026,P0930,National Cooperative Bank,Amritsar,Current,2017-03-12
ACC0027,P0266,Suvidha Nagrik Bank,Surat,Savings,2015-08-25
ACC0028,P0086,National Cooperative Bank,Kanpur,Savings,2023-11-22
ACC0029,P0972,Saraswati Finance Bank,Gurugram,Savings,2024-04-21
ACC0030,P0171,Vindhya Rural Bank,Surat,Savings,2022-11-09
