fir_id,case_id,fir_number,police_station_id,registration_date,incident_date,crime_type,incident_city,incident_area,complainant_id,victim_id,officer_id,summary,status
FIR0001,CASE001,FIR/2026/001/002,PS-CH-007,2026-06-12,2026-06-11,Courier-based Criminal Network,Ghaziabad,Old City Market,P0861,P0861,OFF0015,"On 2026-06-11, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Kirti Arora and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0002,CASE002,FIR/2026/002/003,PS-KA-009,2026-04-23,2026-04-22,Smuggling-style Network,Amritsar,New Township Sector 9,P0773,P0773,OFF0022,Preliminary inquiry into the matter revealed that Radha Joshi was in contact with the complainant. A vehicle matching the description of SU-31-ZI-0084 was observed near Model Town Block C Family Restaurant. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0003,CASE003,FIR/2026/003/004,PS-PA-025,2026-01-10,2026-01-09,Financial Fraud,Ranchi,Model Town Block C,P0423,P0423,OFF0006,"The complainant, associated with Bhatia Group Transport Services, stated that between 2026-01-06 and 2026-01-09 several communications were received. A person locally referred to as Karan S. was reportedly seen near Housing Board Colony Dhaba shortly before the incident. the sequence of events remains under verification",Closed
FIR0004,CASE004,FIR/2026/004/005,PS-AG-010,2026-07-31,2026-07-30,Warehouse Theft,Kanpur,New Township Sector 41,P0792,P0792,OFF0006,Preliminary inquiry into the matter revealed that Vikrai Nair was in contact with the complainant. A vehicle matching the description of GH-99-DO-0019 was observed near Old City Market Family Restaurant. Witnesses gave differing accounts of the timeline.,Closed
FIR0005,CASE005,FIR/2026/005/006,PS-AM-013,2026-04-14,2026-04-13,Missing-person Investigation,Agra,Housing Board Colony,P0622,P0622,OFF0023,"The complainant, associated with Rawat Group Retail Stores, stated that between 2026-04-10 and 2026-04-13 several communications were received. A person locally referred to as Sanjay Tiwari was reportedly seen near Model Town Block B Family Restaurant shortly before the incident. the sequence of events remains under verification",Registered
FIR0006,CASE006,FIR/2025/006/007,PS-DE-001,2025-11-04,2025-11-03,Procurement Fraud,Noida,Civil Lines,P0095,P0095,OFF0009,Preliminary inquiry into the matter revealed that Mohit Rawat was in contact with the complainant. A vehicle matching the description of DE-53-WN-0032 was observed near Hotel Model Town Block C Regency. Witnesses gave differing accounts of the timeline.,Registered
FIR0007,CASE007,FIR/2026/007/008,PS-SU-018,2026-05-31,2026-05-30,Organized Theft,Bengaluru,Sector 7,P0267,P0267,OFF0025,"The complainant, associated with Arora & Sons Retail Stores, stated that between 2026-05-27 and 2026-05-30 several communications were received. A person locally referred to as Radha Nair was reportedly seen near Old City Market Residency shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0008,CASE008,FIR/2025/008/009,PS-JA-006,2025-08-14,2025-08-13,Courier-based Criminal Network,Ranchi,Commercial Block B,P0902,P0902,OFF0014,Preliminary inquiry into the matter revealed that Radha Arora was in contact with the complainant. A vehicle matching the description of GH-12-UB-0117 was observed near Model Town Block C Family Restaurant. Witnesses gave differing accounts of the timeline.,Closed
FIR0009,CASE009,FIR/2026/009/010,PS-CH-023,2026-07-22,2026-07-21,Insurance Fraud,Noida,Civil Lines,P0140,P0140,OFF0002,Preliminary inquiry into the matter revealed that Aarti Khanna was in contact with the complainant. A vehicle matching the description of IN-99-PG-0255 was observed near Commercial Block B Apartments. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0010,CASE010,FIR/2025/010/011,PS-HA-012,2025-10-10,2025-10-09,Cyber-enabled Fraud,Surat,Phase 14 Industrial Estate,P0983,P0983,OFF0023,"On 2025-10-09, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Priya Bhatia and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
