phone_id,person_id,number
PH0001,P0001,9800100001
PH0002,P0002,9800100002
PH0003,P0002,9800100003
PH0004,P0003,9800100004
PH0005,P0004,9800100005
PH0006,P0005,9800100006
PH0007,P0006,9800100007
PH0008,P0007,9800100008
PH0009,P0008,9800100009
PH0010,P0009,9800100010
PH0011,P0010,9800100011
PH0012,P0010,9800100012
PH0013,P0011,9800100013
PH0014,P0012,9800100014
PH0015,P0012,9800100015
PH0016,P0013,9800100016
PH0017,P0014,9800100017
PH0018,P0015,9800100018
PH0019,P0016,9800100019
PH0020,P0017,9800100020
PH0021,P0018,9800100021
PH0022,P0019,9800100022
PH0023,P0020,9800100023
PH0024,P0021,9800100024
PH0025,P0022,9800100025
PH0026,P0023,9800100026
PH0027,P0024,9800100027
PH0028,P0025,9800100028
PH0029,P0026,9800100029
PH0030,P0027,9800100030
PH0031,P0028,9800100031
PH0032,P0029,9800100032
PH0033,P0030,9800100033
PH0034,P0030,9800100034
PH0035,P0031,9800100035
PH0036,P0032,9800100036
PH0037,P0033,9800100037
PH0038,P0034,9800100038
PH0039,P0034,9800100039
PH0040,P0035,9800100040
PH0041,P0036,9800100041
PH0042,P0037,9800100042
PH0043,P0038,9800100043
PH0044,P0038,9800100044
PH0045,P0039,9800100045
PH0046,P0040,9800100046
PH0047,P0041,9800100047
PH0048,P0042,9800100048
PH0049,P0043,9800100049
PH0050,P0044,9800100050
PH0051,P0045,9800100051
PH0052,P0046,9800100052
PH0053,P0047,9800100053
PH0054,P0048,9800100054
PH0055,P0048,9800100055
PH0056,P0049,9800100056
PH0057,P0050,9800100057
PH0058,P0051,9800100058
PH0059,P0052,9800100059
PH0060,P0053,9800100060
PH0061,P0054,9800100061
PH0062,P0054,9800100062
PH0063,P0055,9800100063
PH0064,P0055,9800100064
PH0065,P0056,9800100065
PH0066,P0056,9800100066
PH0067,P0057,9800100067
PH0068,P0058,9800100068
PH0069,P0059,9800100069
PH0070,P0060,9800100070
PH0071,P0060,9800100071
PH0072,P0061,9800100072
PH0073,P0062,9800100073
PH0074,P0063,9800100074
PH0075,P0063,9800100075
PH0076,P0064,9800100076
PH0077,P0065,9800100077
PH0078,P0066,9800100078
PH0079,P0067,9800100079
PH0080,P0068,9800100080
PH0081,P0069,9800100081
PH0082,P0070,9800100082
PH0083,P0071,9800100083
PH0084,P0072,9800100084
PH0085,P0073,9800100085
PH0086,P0074,9800100086
PH0087,P0075,9800100087
PH0088,P0076,9800100088
PH0089,P0077,9800100089
PH0090,P0078,9800100090
PH0091,P0079,9800100091
PH0092,P0080,9800100092
PH0093,P0081,9800100093
PH0094,P0081,9800100094
PH0095,P0082,9800100095
PH0096,P0083,9800100096
PH0097,P0084,9800100097
PH0098,P0085,9800100098
PH0099,P0086,9800100099
PH0100,P0087,9800100100
PH0101,P0088,9800100101
PH0102,P0089,9800100102
PH0103,P0090,9800100103
PH0104,P0091,9800100104
PH0105,P0092,9800100105
PH0106,P0093,9800100106
PH0107,P0094,9800100107
PH0108,P0095,9800100108
PH0109,P0096,9800100109
PH0110,P0097,9800100110
PH0111,P0097,9800100111
PH0112,P0098,9800100112
PH0113,P0099,9800100113
PH0114,P0100,9800100114
PH0115,P0101,9800100115
PH0116,P0102,9800100116
PH0117,P0103,9800100117
PH0118,P0104,9800100118
PH0119,P0105,9800100119
PH0120,P0106,9800100120
PH0121,P0107,9800100121
PH0122,P0108,9800100122
PH0123,P0109,9800100123
PH0124,P0110,9800100124
PH0125,P0110,9800100125
PH0126,P0111,9800100126
PH0127,P0112,9800100127
PH0128,P0113,9800100128
PH0129,P0113,9800100129
PH0130,P0114,9800100130
PH0131,P0115,9800100131
PH0132,P0116,9800100132
PH0133,P0117,9800100133
PH0134,P0118,9800100134
PH0135,P0119,9800100135
PH0136,P0120,9800100136
PH0137,P0121,9800100137
PH0138,P0122,9800100138
PH0139,P0122,9800100139
PH0140,P0123,9800100140
PH0141,P0124,9800100141
PH0142,P0125,9800100142
PH0143,P0126,9800100143
PH0144,P0127,9800100144
PH0145,P0128,9800100145
PH0146,P0129,9800100146
PH0147,P0130,9800100147
PH0148,P0131,9800100148
PH0149,P0131,9800100149
PH0150,P0132,9800100150
PH0151,P0133,9800100151
PH0152,P0134,9800100152
PH0153,P0135,9800100153
PH0154,P0136,9800100154
PH0155,P0137,9800100155
PH0156,P0138,9800100156
PH0157,P0139,9800100157
PH0158,P0140,9800100158
PH0159,P0141,9800100159
PH0160,P0142,9800100160
PH0161,P0143,9800100161
PH0162,P0144,9800100162
PH0163,P0145,9800100163
PH0164,P0145,9800100164
PH0165,P0146,9800100165
PH0166,P0146,9800100166
PH0167,P0147,9800100167
PH0168,P0148,9800100168
PH0169,P0149,9800100169
PH0170,P0150,9800100170
PH0171,P0151,9800100171
PH0172,P0152,9800100172
PH0173,P0153,9800100173
PH0174,P0154,9800100174
PH0175,P0155,9800100175
PH0176,P0156,9800100176
PH0177,P0157,9800100177
PH0178,P0158,9800100178
PH0179,P0159,9800100179
PH0180,P0159,9800100180
PH0181,P0160,9800100181
PH0182,P0161,9800100182
PH0183,P0161,9800100183
PH0184,P0162,9800100184
PH0185,P0163,9800100185
PH0186,P0164,9800100186
PH0187,P0165,9800100187
PH0188,P0166,9800100188
PH0189,P0167,9800100189
PH0190,P0168,9800100190
PH0191,P0169,9800100191
PH0192,P0170,9800100192
PH0193,P0171,9800100193
PH0194,P0172,9800100194
PH0195,P0173,9800100195
PH0196,P0174,9800100196
PH0197,P0174,9800100197
PH0198,P0175,9800100198
PH0199,P0175,9800100199
PH0200,P0176,9800100200
PH0201,P0177,9800100201
PH0202,P0178,9800100202
PH0203,P0179,9800100203
PH0204,P0180,9800100204
PH0205,P0181,9800100205
PH0206,P0181,9800100206
PH0207,P0182,9800100207
PH0208,P0183,9800100208
PH0209,P0184,9800100209
PH0210,P0185,9800100210
PH0211,P0186,9800100211
PH0212,P0187,9800100212
PH0213,P0188,9800100213
PH0214,P0189,9800100214
PH0215,P0190,9800100215
PH0216,P0191,9800100216
PH0217,P0192,9800100217
PH0218,P0193,9800100218
PH0219,P0194,9800100219
PH0220,P0195,9800100220
PH0221,P0196,9800100221
PH0222,P0197,9800100222
PH0223,P0198,9800100223
PH0224,P0199,9800100224
PH0225,P0200,9800100225
PH0226,P0201,9800100226
PH0227,P0202,9800100227
PH0228,P0202,9800100228
PH0229,P0203,9800100229
PH0230,P0203,9800100230
PH0231,P0204,9800100231
PH0232,P0205,9800100232
PH0233,P0206,9800100233
PH0234,P0207,9800100234
PH0235,P0208,9800100235
PH0236,P0209,9800100236
PH0237,P0210,9800100237
PH0238,P0210,9800100238
PH0239,P0211,9800100239
PH0240,P0212,9800100240
PH0241,P0213,9800100241
PH0242,P0214,9800100242
PH0243,P0215,9800100243
PH0244,P0216,9800100244
PH0245,P0217,9800100245
PH0246,P0218,9800100246
PH0247,P0218,9800100247
PH0248,P0219,9800100248
PH0249,P0220,9800100249
PH0250,P0220,9800100250
PH0251,P0221,9800100251
PH0252,P0221,9800100252
PH0253,P0222,9800100253
PH0254,P0222,9800100254
PH0255,P0223,9800100255
PH0256,P0223,9800100256
PH0257,P0224,9800100257
PH0258,P0225,9800100258
PH0259,P0226,9800100259
PH0260,P0227,9800100260
PH0261,P0228,9800100261
PH0262,P0229,9800100262
PH0263,P0230,9800100263
PH0264,P0231,9800100264
PH0265,P0232,9800100265
PH0266,P0233,9800100266
PH0267,P0234,9800100267
PH0268,P0235,9800100268
PH0269,P0236,9800100269
PH0270,P0236,9800100270
PH0271,P0237,9800100271
PH0272,P0238,9800100272
PH0273,P0239,9800100273
PH0274,P0240,9800100274
PH0275,P0241,9800100275
PH0276,P0242,9800100276
PH0277,P0243,9800100277
PH0278,P0244,9800100278
PH0279,P0244,9800100279
PH0280,P0245,9800100280
PH0281,P0246,9800100281
PH0282,P0247,9800100282
PH0283,P0247,9800100283
PH0284,P0248,9800100284
PH0285,P0248,9800100285
PH0286,P0249,9800100286
PH0287,P0249,9800100287
PH0288,P0250,9800100288
PH0289,P0251,9800100289
PH0290,P0252,9800100290
PH0291,P0253,9800100291
PH0292,P0254,9800100292
PH0293,P0255,9800100293
PH0294,P0256,9800100294
PH0295,P0257,9800100295
PH0296,P0257,9800100296
PH0297,P0258,9800100297
PH0298,P0259,9800100298
PH0299,P0260,9800100299
PH0300,P0261,9800100300
PH0301,P0262,9800100301
PH0302,P0263,9800100302
PH0303,P0264,9800100303
PH0304,P0265,9800100304
PH0305,P0265,9800100305
PH0306,P0266,9800100306
PH0307,P0267,9800100307
PH0308,P0268,9800100308
PH0309,P0268,9800100309
PH0310,P0269,9800100310
PH0311,P0270,9800100311
PH0312,P0271,9800100312
PH0313,P0272,9800100313
PH0314,P0273,9800100314
PH0315,P0274,9800100315
PH0316,P0275,9800100316
PH0317,P0276,9800100317
PH0318,P0276,9800100318
PH0319,P0277,9800100319
PH0320,P0278,9800100320
PH0321,P0279,9800100321
PH0322,P0280,9800100322
PH0323,P0281,9800100323
PH0324,P0282,9800100324
PH0325,P0283,9800100325
PH0326,P0284,9800100326
PH0327,P0285,9800100327
PH0328,P0286,9800100328
PH0329,P0287,9800100329
PH0330,P0288,9800100330
PH0331,P0289,9800100331
PH0332,P0290,9800100332
PH0333,P0291,9800100333
PH0334,P0291,9800100334
PH0335,P0292,9800100335
PH0336,P0293,9800100336
PH0337,P0294,9800100337
PH0338,P0295,9800100338
PH0339,P0296,9800100339
PH0340,P0297,9800100340
PH0341,P0297,9800100341
PH0342,P0298,9800100342
PH0343,P0299,9800100343
PH0344,P0300,9800100344
PH0345,P0301,9800100345
PH0346,P0302,9800100346
PH0347,P0303,9800100347
PH0348,P0304,9800100348
PH0349,P0304,9800100349
PH0350,P0305,9800100350
PH0351,P0306,9800100351
PH0352,P0307,9800100352
PH0353,P0308,9800100353
PH0354,P0309,9800100354
PH0355,P0310,9800100355
PH0356,P0311,9800100356
PH0357,P0312,9800100357
PH0358,P0313,9800100358
PH0359,P0314,9800100359
PH0360,P0315,9800100360
PH0361,P0316,9800100361
PH0362,P0317,9800100362
PH0363,P0317,9800100363
PH0364,P0318,9800100364
PH0365,P0319,9800100365
PH0366,P0320,9800100366
PH0367,P0321,9800100367
PH0368,P0322,9800100368
PH0369,P0323,9800100369
PH0370,P0323,9800100370
PH0371,P0324,9800100371
PH0372,P0325,9800100372
PH0373,P0326,9800100373
PH0374,P0327,9800100374
PH0375,P0328,9800100375
PH0376,P0328,9800100376
PH0377,P0329,9800100377
PH0378,P0330,9800100378
PH0379,P0331,9800100379
PH0380,P0332,9800100380
PH0381,P0333,9800100381
PH0382,P0334,9800100382
PH0383,P0335,9800100383
PH0384,P0336,9800100384
PH0385,P0337,9800100385
PH0386,P0338,9800100386
PH0387,P0339,9800100387
PH0388,P0340,9800100388
PH0389,P0341,9800100389
PH0390,P0341,9800100390
PH0391,P0342,9800100391
PH0392,P0343,9800100392
PH0393,P0344,9800100393
PH0394,P0344,9800100394
PH0395,P0345,9800100395
PH0396,P0346,9800100396
PH0397,P0346,9800100397
PH0398,P0347,9800100398
PH0399,P0348,9800100399
PH0400,P0349,9800100400
PH0401,P0350,9800100401
PH0402,P0351,9800100402
PH0403,P0351,9800100403
PH0404,P0352,9800100404
PH0405,P0353,9800100405
PH0406,P0354,9800100406
PH0407,P0355,9800100407
PH0408,P0356,9800100408
PH0409,P0357,9800100409
PH0410,P0357,9800100410
PH0411,P0358,9800100411
PH0412,P0359,9800100412
PH0413,P0360,9800100413
PH0414,P0361,9800100414
PH0415,P0362,9800100415
PH0416,P0363,9800100416
PH0417,P0363,9800100417
PH0418,P0364,9800100418
PH0419,P0364,9800100419
PH0420,P0365,9800100420
PH0421,P0366,9800100421
PH0422,P0367,9800100422
PH0423,P0368,9800100423
PH0424,P0368,9800100424
PH0425,P0369,9800100425
PH0426,P0369,9800100426
PH0427,P0370,9800100427
PH0428,P0371,9800100428
PH0429,P0372,9800100429
PH0430,P0373,9800100430
PH0431,P0374,9800100431
PH0432,P0375,9800100432
PH0433,P0376,9800100433
PH0434,P0376,9800100434
PH0435,P0377,9800100435
PH0436,P0378,9800100436
PH0437,P0379,9800100437
PH0438,P0380,9800100438
PH0439,P0381,9800100439
PH0440,P0382,9800100440
PH0441,P0383,9800100441
PH0442,P0384,9800100442
PH0443,P0385,9800100443
PH0444,P0386,9800100444
PH0445,P0387,9800100445
PH0446,P0388,9800100446
PH0447,P0389,9800100447
