span_id,doc_id,case_id,start,end,text,label,entity_id
NER0001,FIR_FIR0001,CASE001,37,47,2026-06-11,DATE,
NER0002,FIR_FIR0001,CASE001,221,232,Kirti Arora,PERSON,P0520
NER0003,WITNESS_CASE001_1,CASE001,97,108,Kirti Arora,PERSON,P0520
NER0004,FIR_FIR0002,CASE002,84,95,Radha Joshi,PERSON,P0555
NER0005,FIR_FIR0002,CASE002,171,184,SU-31-ZI-0084,VEHICLE,VEH0084
NER0006,FIR_FIR0002,CASE002,203,239,Model Town Block C Family Restaurant,LOCATION,LOC0158
NER0007,WITNESS_CASE002_1,CASE002,77,88,Radha Joshi,PERSON,P0555
NER0008,WITNESS_CASE002_1,CASE002,94,130,Model Town Block C Family Restaurant,LOCATION,LOC0158
NER0009,FIR_FIR0003,CASE003,67,98,Bhatia Group Transport Services,ORG,ORG0052
NER0010,FIR_FIR0003,CASE003,120,130,2026-01-06,DATE,
NER0011,FIR_FIR0003,CASE003,135,145,2026-01-09,DATE,
NER0012,FIR_FIR0003,CASE003,216,224,Karan S.,PERSON,P0217
NER0013,FIR_FIR0003,CASE003,250,276,Housing Board Colony Dhaba,LOCATION,LOC0014
NER0014,WITNESS_CASE003_1,CASE003,48,56,Karan S.,PERSON,P0217
NER0015,WITNESS_CASE003_1,CASE003,72,98,Housing Board Colony Dhaba,LOCATION,LOC0014
NER0016,FIR_FIR0004,CASE004,171,184,GH-99-DO-0019,VEHICLE,VEH0019
NER0017,FIR_FIR0004,CASE004,203,236,Old City Market Family Restaurant,LOCATION,LOC0104
NER0018,WITNESS_CASE004_1,CASE004,75,108,Old City Market Family Restaurant,LOCATION,LOC0104
NER0019,FIR_FIR0005,CASE005,67,92,Rawat Group Retail Stores,ORG,ORG0063
NER0020,FIR_FIR0005,CASE005,114,124,2026-04-10,DATE,
NER0021,FIR_FIR0005,CASE005,129,139,2026-04-13,DATE,
NER0022,FIR_FIR0005,CASE005,210,223,Sanjay Tiwari,PERSON,P0061
NER0023,FIR_FIR0005,CASE005,249,285,Model Town Block B Family Restaurant,LOCATION,LOC0127
NER0024,WITNESS_CASE005_1,CASE005,97,110,Sanjay Tiwari,PERSON,P0061
NER0025,FIR_FIR0006,CASE006,84,95,Mohit Rawat,PERSON,P0036
NER0026,FIR_FIR0006,CASE006,171,184,DE-53-WN-0032,VEHICLE,VEH0032
NER0027,FIR_FIR0006,CASE006,203,235,Hotel Model Town Block C Regency,LOCATION,LOC0110
NER0028,WITNESS_CASE006_1,CASE006,77,88,Mohit Rawat,PERSON,P0036
NER0029,WITNESS_CASE006_1,CASE006,94,126,Hotel Model Town Block C Regency,LOCATION,LOC0110
NER0030,FIR_FIR0007,CASE007,67,93,Arora & Sons Retail Stores,ORG,ORG0072
NER0031,FIR_FIR0007,CASE007,115,125,2026-05-27,DATE,
NER0032,FIR_FIR0007,CASE007,130,140,2026-05-30,DATE,
NER0033,FIR_FIR0007,CASE007,211,221,Radha Nair,PERSON,P0297
NER0034,FIR_FIR0007,CASE007,247,272,Old City Market Residency,LOCATION,LOC0075
NER0035,WITNESS_CASE007_1,CASE007,48,58,Radha Nair,PERSON,P0297
NER0036,WITNESS_CASE007_1,CASE007,74,99,Old City Market Residency,LOCATION,LOC0075
NER0037,FIR_FIR0008,CASE008,84,95,Radha Arora,PERSON,P0913
NER0038,FIR_FIR0008,CASE008,171,184,GH-12-UB-0117,VEHICLE,VEH0117
NER0039,FIR_FIR0008,CASE008,203,239,Model Town Block C Family Restaurant,LOCATION,LOC0158
NER0040,WITNESS_CASE008_1,CASE008,48,59,Radha Arora,PERSON,P0913
NER0041,WITNESS_CASE008_1,CASE008,75,111,Model Town Block C Family Restaurant,LOCATION,LOC0158
NER0042,FIR_FIR0009,CASE009,84,96,Aarti Khanna,PERSON,P0399
NER0043,FIR_FIR0009,CASE009,172,185,IN-99-PG-0255,VEHICLE,VEH0255
NER0044,FIR_FIR0009,CASE009,204,233,Commercial Block B Apartments,LOCATION,LOC0193
NER0045,WITNESS_CASE009_1,CASE009,48,60,Aarti Khanna,PERSON,P0399
NER0046,WITNESS_CASE009_1,CASE009,76,105,Commercial Block B Apartments,LOCATION,LOC0193
NER0047,FIR_FIR0010,CASE010,37,47,2025-10-09,DATE,
NER0048,FIR_FIR0010,CASE010,221,233,Priya Bhatia,PERSON,P0271
NER0049,WITNESS_CASE010_1,CASE010,77,89,Priya Bhatia,PERSON,P0271
NER0050,WITNESS_CASE010_1,CASE010,95,133,Phase 5 Industrial Estate Bus Terminal,LOCATION,LOC0002
NER0051,FIR_FIR0011,CASE011,37,47,2025-09-28,DATE,
NER0052,FIR_FIR0011,CASE011,221,233,Anjali Verma,PERSON,P0294
NER0053,WITNESS_CASE011_1,CASE011,77,89,Anjali Verma,PERSON,P0294
NER0054,WITNESS_CASE011_1,CASE011,95,113,Railway Colony Inn,LOCATION,LOC0032
NER0055,FIR_FIR0012,CASE012,84,100,Siddharth Saxena,PERSON,P0817
NER0056,FIR_FIR0012,CASE012,176,189,BH-27-EV-0275,VEHICLE,VEH0275
NER0057,FIR_FIR0012,CASE012,208,231,Hotel Sector 41 Regency,LOCATION,LOC0250
NER0058,WITNESS_CASE012_1,CASE012,77,93,Siddharth Saxena,PERSON,P0817
NER0059,WITNESS_CASE012_1,CASE012,99,122,Hotel Sector 41 Regency,LOCATION,LOC0250
NER0060,FIR_FIR0013,CASE013,37,47,2025-10-08,DATE,
NER0061,FIR_FIR0013,CASE013,221,234,Sanjay Bansal,PERSON,P0325
NER0062,WITNESS_CASE013_1,CASE013,97,110,Sanjay Bansal,PERSON,P0325
NER0063,FIR_FIR0014,CASE014,84,97,Vikram Sharma,PERSON,P0801
NER0064,FIR_FIR0014,CASE014,173,186,LU-31-WZ-0265,VEHICLE,VEH0265
NER0065,FIR_FIR0014,CASE014,205,239,Housing Board Colony Public Ground,LOCATION,LOC0009
NER0066,WITNESS_CASE014_1,CASE014,48,61,Vikram Sharma,PERSON,P0801
NER0067,WITNESS_CASE014_1,CASE014,77,111,Housing Board Colony Public Ground,LOCATION,LOC0009
NER0068,FIR_FIR0015,CASE015,67,97,Kapoor Group Manufacturing Ltd,ORG,ORG0062
NER0069,FIR_FIR0015,CASE015,119,129,2026-05-06,DATE,
NER0070,FIR_FIR0015,CASE015,134,144,2026-05-09,DATE,
NER0071,FIR_FIR0015,CASE015,215,227,Nikhil Kohli,PERSON,P0261
NER0072,FIR_FIR0015,CASE015,253,293,Phase 3 Industrial Estate Public Parking,LOCATION,LOC0257
NER0073,WITNESS_CASE015_1,CASE015,97,109,Nikhil Kohli,PERSON,P0261
NER0074,FIR_FIR0016,CASE016,67,90,Rawat & Sons Trading Co,ORG,ORG0147
NER0075,FIR_FIR0016,CASE016,112,122,2025-11-20,DATE,
NER0076,FIR_FIR0016,CASE016,127,137,2025-11-23,DATE,
NER0077,FIR_FIR0016,CASE016,247,271,Sector 33 Business Tower,LOCATION,LOC0211
NER0078,WITNESS_CASE016_1,CASE016,77,90,Ramesh Bhalla,PERSON,P0704
NER0079,WITNESS_CASE016_1,CASE016,96,120,Sector 33 Business Tower,LOCATION,LOC0211
NER0080,FIR_FIR0017,CASE017,37,47,2026-01-11,DATE,
NER0081,FIR_FIR0017,CASE017,221,234,Preeti Kapoor,PERSON,P0723
NER0082,WITNESS_CASE017_1,CASE017,97,110,Preeti Kapoor,PERSON,P0723
NER0083,FIR_FIR0018,CASE018,37,47,2025-07-27,DATE,
NER0084,FIR_FIR0018,CASE018,221,234,Amit Malhotra,PERSON,P0613
NER0085,WITNESS_CASE018_1,CASE018,48,61,Amit Malhotra,PERSON,P0613
NER0086,WITNESS_CASE018_1,CASE018,77,105,Old City Market Trade Centre,LOCATION,LOC0035
NER0087,FIR_FIR0019,CASE019,37,47,2025-07-28,DATE,
NER0088,FIR_FIR0019,CASE019,221,233,Mohit Kapoor,PERSON,P0333
NER0089,WITNESS_CASE019_1,CASE019,48,60,Mohit Kapoor,PERSON,P0333
NER0090,WITNESS_CASE019_1,CASE019,76,112,Commercial Block B Family Restaurant,LOCATION,LOC0178
NER0091,FIR_FIR0020,CASE020,37,47,2025-12-12,DATE,
NER0092,FIR_FIR0020,CASE020,221,235,Tanya Malhotra,PERSON,P0293
NER0093,WITNESS_CASE020_1,CASE020,97,111,Tanya Malhotra,PERSON,P0293
NER0094,FIR_FIR0021,CASE021,37,47,2026-01-27,DATE,
NER0095,WITNESS_CASE021_1,CASE021,97,111,Harish Rathore,PERSON,P0038
NER0096,FIR_FIR0022,CASE022,67,102,Malhotra & Sons Consulting Services,ORG,ORG0135
NER0097,FIR_FIR0022,CASE022,124,134,2025-09-07,DATE,
NER0098,FIR_FIR0022,CASE022,139,149,2025-09-10,DATE,
NER0099,FIR_FIR0022,CASE022,220,231,Anil Sharma,PERSON,P0184
NER0100,FIR_FIR0022,CASE022,257,297,Phase 3 Industrial Estate Public Parking,LOCATION,LOC0257
NER0101,WITNESS_CASE022_1,CASE022,77,88,Anil Sharma,PERSON,P0184
NER0102,WITNESS_CASE022_1,CASE022,94,134,Phase 3 Industrial Estate Public Parking,LOCATION,LOC0257
NER0103,FIR_FIR0023,CASE023,67,91,Chawla & Sons Trading Co,ORG,ORG0064
NER0104,FIR_FIR0023,CASE023,113,123,2025-06-24,DATE,
NER0105,FIR_FIR0023,CASE023,128,138,2025-06-27,DATE,
NER0106,FIR_FIR0023,CASE023,209,223,Tanya Malhotra,PERSON,P0293
NER0107,FIR_FIR0023,CASE023,249,291,New Township Sector 19 Multi-level Parking,LOCATION,LOC0028
NER0108,WITNESS_CASE023_1,CASE023,48,62,Tanya Malhotra,PERSON,P0293
NER0109,WITNESS_CASE023_1,CASE023,78,120,New Township Sector 19 Multi-level Parking,LOCATION,LOC0028
NER0110,FIR_FIR0024,CASE024,84,94,Kavya Iyer,PERSON,P0429
NER0111,FIR_FIR0024,CASE024,170,183,GU-86-LS-0176,VEHICLE,VEH0176
NER0112,FIR_FIR0024,CASE024,202,226,Sector 55 Community Park,LOCATION,LOC0152
NER0113,WITNESS_CASE024_1,CASE024,97,107,Kavya Iyer,PERSON,P0429
NER0114,FIR_FIR0025,CASE025,67,98,Bansal & Sons Logistics Pvt Ltd,ORG,ORG0028
NER0115,FIR_FIR0025,CASE025,120,130,2026-03-05,DATE,
NER0116,FIR_FIR0025,CASE025,135,145,2026-03-08,DATE,
NER0117,FIR_FIR0025,CASE025,216,232,Anjali Choudhary,PERSON,P0603
NER0118,FIR_FIR0025,CASE025,258,293,New Township Sector 29 Bus Terminal,LOCATION,LOC0163
NER0119,WITNESS_CASE025_1,CASE025,48,64,Anjali Choudhary,PERSON,P0603
NER0120,WITNESS_CASE025_1,CASE025,80,115,New Township Sector 29 Bus Terminal,LOCATION,LOC0163
NER0121,FIR_FIR0026,CASE026,171,184,PA-12-KO-0211,VEHICLE,VEH0211
NER0122,FIR_FIR0026,CASE026,203,222,Transport Nagar Inn,LOCATION,LOC0057
NER0123,FIR_FIR0027,CASE027,84,97,Aditya Bansal,PERSON,P0014
NER0124,FIR_FIR0027,CASE027,173,186,CH-17-NB-0054,VEHICLE,VEH0054
NER0125,FIR_FIR0027,CASE027,205,236,Transport Nagar Housing Complex,LOCATION,LOC0012
NER0126,WITNESS_CASE027_1,CASE027,77,90,Aditya Bansal,PERSON,P0014
NER0127,WITNESS_CASE027_1,CASE027,96,127,Transport Nagar Housing Complex,LOCATION,LOC0012
NER0128,FIR_FIR0028,CASE028,67,92,Saxena Transport Services,ORG,ORG0089
NER0129,FIR_FIR0028,CASE028,114,124,2025-09-13,DATE,
NER0130,FIR_FIR0028,CASE028,129,139,2025-09-16,DATE,
NER0131,FIR_FIR0028,CASE028,210,222,Tarun Grover,PERSON,P0054
NER0132,FIR_FIR0028,CASE028,248,278,Old City Market Warehouse Zone,LOCATION,LOC0300
NER0133,WITNESS_CASE028_1,CASE028,77,89,Tarun Grover,PERSON,P0054
NER0134,WITNESS_CASE028_1,CASE028,95,125,Old City Market Warehouse Zone,LOCATION,LOC0300
NER0135,FIR_FIR0029,CASE029,67,100,Nair & Sons Constructions Pvt Ltd,ORG,ORG0133
NER0136,FIR_FIR0029,CASE029,122,132,2025-09-18,DATE,
NER0137,FIR_FIR0029,CASE029,137,147,2025-09-21,DATE,
NER0138,FIR_FIR0029,CASE029,258,290,Railway Colony Family Restaurant,LOCATION,LOC0093
NER0139,WITNESS_CASE029_1,CASE029,77,91,Nidhi Aggarwal,PERSON,P0205
NER0140,WITNESS_CASE029_1,CASE029,97,129,Railway Colony Family Restaurant,LOCATION,LOC0093
NER0141,FIR_FIR0030,CASE030,37,47,2025-06-18,DATE,
NER0142,FIR_FIR0030,CASE030,221,233,Neeraj Verma,PERSON,P0501
NER0143,WITNESS_CASE030_1,CASE030,97,109,Neeraj Verma,PERSON,P0501
NER0144,FIR_FIR0031,CASE031,84,94,Ravi Joshi,PERSON,P0805
NER0145,FIR_FIR0031,CASE031,170,183,AG-58-EA-0135,VEHICLE,VEH0135
NER0146,FIR_FIR0031,CASE031,202,233,Civil Lines Multi-level Parking,LOCATION,LOC0190
NER0147,WITNESS_CASE031_1,CASE031,97,107,Ravi Joshi,PERSON,P0805
NER0148,FIR_FIR0032,CASE032,84,95,Tarun Singh,PERSON,P0791
NER0149,FIR_FIR0032,CASE032,171,184,AG-65-FX-0152,VEHICLE,VEH0152
NER0150,FIR_FIR0032,CASE032,203,240,Phase 29 Industrial Estate Apartments,LOCATION,LOC0292
NER0151,WITNESS_CASE032_1,CASE032,77,88,Tarun Singh,PERSON,P0791
NER0152,WITNESS_CASE032_1,CASE032,94,131,Phase 29 Industrial Estate Apartments,LOCATION,LOC0292
NER0153,FIR_FIR0033,CASE033,37,47,2025-07-02,DATE,
NER0154,FIR_FIR0033,CASE033,221,233,Mohit Tiwari,PERSON,P0490
NER0155,WITNESS_CASE033_1,CASE033,97,109,Mohit Tiwari,PERSON,P0490
NER0156,FIR_FIR0034,CASE034,37,47,2026-07-06,DATE,
NER0157,FIR_FIR0034,CASE034,221,232,Divya Verma,PERSON,P0216
NER0158,WITNESS_CASE034_1,CASE034,48,59,Divya Verma,PERSON,P0216
NER0159,WITNESS_CASE034_1,CASE034,75,101,Civil Lines Warehouse Zone,LOCATION,LOC0223
NER0160,FIR_FIR0035,CASE035,84,92,K. Sethi,PERSON,P0894
NER0161,FIR_FIR0035,CASE035,168,181,HY-34-RI-0003,VEHICLE,VEH0003
NER0162,FIR_FIR0035,CASE035,200,231,Commercial Block B Trade Centre,LOCATION,LOC0079
NER0163,WITNESS_CASE035_1,CASE035,77,88,Karan Sethi,PERSON,P0894
NER0164,WITNESS_CASE035_1,CASE035,94,125,Commercial Block B Trade Centre,LOCATION,LOC0079
NER0165,FIR_FIR0036,CASE036,67,90,Bhatia Group Trading Co,ORG,ORG0109
NER0166,FIR_FIR0036,CASE036,112,122,2025-07-27,DATE,
NER0167,FIR_FIR0036,CASE036,127,137,2025-07-30,DATE,
NER0168,FIR_FIR0036,CASE036,208,219,Vidya Arora,PERSON,P0954
NER0169,FIR_FIR0036,CASE036,245,281,Model Town Block C Family Restaurant,LOCATION,LOC0158
NER0170,WITNESS_CASE036_1,CASE036,94,130,Model Town Block C Family Restaurant,LOCATION,LOC0158
NER0171,FIR_FIR0037,CASE037,37,47,2026-06-19,DATE,
NER0172,FIR_FIR0037,CASE037,221,234,Bhavna Chopra,PERSON,P0557
NER0173,WITNESS_CASE037_1,CASE037,48,54,"""Bhau""",PERSON,P0027
NER0174,WITNESS_CASE037_1,CASE037,70,111,New Township Sector 20 Commercial Complex,LOCATION,LOC0233
NER0175,FIR_FIR0038,CASE038,67,99,Joshi Group Technologies Pvt Ltd,ORG,ORG0066
NER0176,FIR_FIR0038,CASE038,121,131,2026-06-16,DATE,
NER0177,FIR_FIR0038,CASE038,136,146,2026-06-19,DATE,
NER0178,FIR_FIR0038,CASE038,217,229,Simran Reddy,PERSON,P0938
NER0179,FIR_FIR0038,CASE038,255,295,New Township Sector 48 Family Restaurant,LOCATION,LOC0216
NER0180,WITNESS_CASE038_1,CASE038,77,89,Simran Reddy,PERSON,P0938
NER0181,WITNESS_CASE038_1,CASE038,95,135,New Township Sector 48 Family Restaurant,LOCATION,LOC0216
NER0182,FIR_FIR0039,CASE039,67,98,Chawla & Sons Manufacturing Ltd,ORG,ORG0069
NER0183,FIR_FIR0039,CASE039,120,130,2025-12-21,DATE,
NER0184,FIR_FIR0039,CASE039,135,145,2025-12-24,DATE,
NER0185,FIR_FIR0039,CASE039,216,225,Ravi Nair,PERSON,P0285
NER0186,FIR_FIR0039,CASE039,251,269,Civil Lines Market,LOCATION,LOC0008
NER0187,WITNESS_CASE039_1,CASE039,48,57,Ravi Nair,PERSON,P0285
NER0188,WITNESS_CASE039_1,CASE039,73,91,Civil Lines Market,LOCATION,LOC0008
NER0189,FIR_FIR0040,CASE040,84,95,Manju Verma,PERSON,P0581
NER0190,FIR_FIR0040,CASE040,171,184,MU-34-SZ-0162,VEHICLE,VEH0162
NER0191,FIR_FIR0040,CASE040,203,221,Railway Colony Inn,LOCATION,LOC0032
NER0192,WITNESS_CASE040_1,CASE040,48,59,Manju Verma,PERSON,P0581
NER0193,WITNESS_CASE040_1,CASE040,75,93,Railway Colony Inn,LOCATION,LOC0032
NER0194,FIR_FIR0041,CASE041,67,86,Arora Retail Stores,ORG,ORG0148
NER0195,FIR_FIR0041,CASE041,108,118,2025-06-03,DATE,
NER0196,FIR_FIR0041,CASE041,123,133,2025-06-06,DATE,
NER0197,FIR_FIR0041,CASE041,204,217,Aditya Mishra,PERSON,P0075
NER0198,FIR_FIR0041,CASE041,243,275,Commercial Block A Public Ground,LOCATION,LOC0157
NER0199,WITNESS_CASE041_1,CASE041,97,110,Aditya Mishra,PERSON,P0075
NER0200,FIR_FIR0042,CASE042,67,98,Rathore Group Manufacturing Ltd,ORG,ORG0132
NER0201,FIR_FIR0042,CASE042,120,130,2025-07-28,DATE,
NER0202,FIR_FIR0042,CASE042,135,145,2025-07-31,DATE,
NER0203,FIR_FIR0042,CASE042,216,231,Ashok Choudhary,PERSON,P0529
NER0204,FIR_FIR0042,CASE042,257,293,New Township Sector 53 Public Ground,LOCATION,LOC0256
NER0205,WITNESS_CASE042_1,CASE042,48,63,Ashok Choudhary,PERSON,P0529
NER0206,WITNESS_CASE042_1,CASE042,79,115,New Township Sector 53 Public Ground,LOCATION,LOC0256
NER0207,FIR_FIR0043,CASE043,67,101,Gupta & Sons Constructions Pvt Ltd,ORG,ORG0144
NER0208,FIR_FIR0043,CASE043,123,133,2026-02-09,DATE,
NER0209,FIR_FIR0043,CASE043,138,148,2026-02-12,DATE,
NER0210,FIR_FIR0043,CASE043,258,294,Housing Board Colony Corporate Plaza,LOCATION,LOC0121
NER0211,WITNESS_CASE043_1,CASE043,77,90,Aakash Sharma,PERSON,P0133
NER0212,WITNESS_CASE043_1,CASE043,96,132,Housing Board Colony Corporate Plaza,LOCATION,LOC0121
NER0213,FIR_FIR0044,CASE044,37,47,2026-01-17,DATE,
NER0214,FIR_FIR0044,CASE044,221,233,Gaurav Gupta,PERSON,P0689
NER0215,WITNESS_CASE044_1,CASE044,77,89,Gaurav Gupta,PERSON,P0689
NER0216,WITNESS_CASE044_1,CASE044,95,131,New Township Sector 45 Public Ground,LOCATION,LOC0246
NER0217,FIR_FIR0045,CASE045,37,47,2025-12-03,DATE,
NER0218,FIR_FIR0045,CASE045,221,233,Rajat Khanna,PERSON,P0916
NER0219,WITNESS_CASE045_1,CASE045,97,109,Rajat Khanna,PERSON,P0916
NER0220,FIR_FIR0046,CASE046,37,47,2025-08-26,DATE,
NER0221,FIR_FIR0046,CASE046,221,233,Sanjay Arora,PERSON,P0088
NER0222,WITNESS_CASE046_1,CASE046,48,60,Sanjay Arora,PERSON,P0088
NER0223,WITNESS_CASE046_1,CASE046,76,101,Sector 59 Corporate Plaza,LOCATION,LOC0030
NER0224,FIR_FIR0047,CASE047,37,47,2025-07-06,DATE,
NER0225,FIR_FIR0047,CASE047,221,237,Siddharth Saxena,PERSON,P0817
NER0226,WITNESS_CASE047_1,CASE047,77,93,Siddharth Saxena,PERSON,P0817
NER0227,WITNESS_CASE047_1,CASE047,99,120,Civil Lines Residency,LOCATION,LOC0109
NER0228,FIR_FIR0048,CASE048,84,96,Aakash Rawat,PERSON,P0482
NER0229,FIR_FIR0048,CASE048,172,185,BH-86-IH-0090,VEHICLE,VEH0090
NER0230,FIR_FIR0048,CASE048,204,236,Hotel Model Town Block D Regency,LOCATION,LOC0019
NER0231,WITNESS_CASE048_1,CASE048,77,89,Aakash Rawat,PERSON,P0482
NER0232,WITNESS_CASE048_1,CASE048,95,127,Hotel Model Town Block D Regency,LOCATION,LOC0019
NER0233,FIR_FIR0049,CASE049,84,96,Neha Rathore,PERSON,P0837
