call_id,caller_number,callee_number,call_date,call_time,duration_seconds,call_type,tower_id,tower_location,tower_lat,tower_lon
CDR-0001,9123456780,9234567891,2024-03-10,14:30:00,245,voice,MUM-T-0142,Bandra West Mumbai,19.0596,72.8295
CDR-0002,9123456780,9456789012,2024-03-10,15:45:00,180,voice,MUM-T-0142,Bandra West Mumbai,19.0596,72.8295
CDR-0003,9234567891,9123456780,2024-03-11,09:15:00,320,voice,MUM-T-0198,Andheri East Mumbai,19.1197,72.8464
CDR-0004,9456789012,9567890123,2024-03-12,22:30:00,90,voice,DEL-T-0045,Saket New Delhi,28.5244,77.2167
CDR-0005,9567890123,9678901234,2024-03-13,01:15:00,150,voice,DEL-T-0067,Mehrauli New Delhi,28.5176,77.1855
CDR-0006,9456789012,9678901234,2024-03-14,10:00:00,60,voice,DEL-T-0045,Saket New Delhi,28.5244,77.2167
CDR-0007,9890123456,9901234567,2024-03-20,16:30:00,420,voice,BLR-T-0089,Whitefield Bengaluru,12.9698,77.7500
CDR-0008,9901234567,9890123456,2024-03-21,11:45:00,200,voice,BLR-T-0102,Electronic City Bengaluru,12.8456,77.6603
CDR-0009,8123456789,8234567890,2024-04-15,08:00:00,540,voice,LKO-T-0034,Aminabad Lucknow,26.8467,80.9462
CDR-0010,8234567890,8345678901,2024-04-16,14:20:00,180,voice,LKO-T-0034,Aminabad Lucknow,26.8467,80.9462
CDR-0011,8345678901,8123456789,2024-04-17,19:30:00,300,voice,LKO-T-0056,Charbagh Lucknow,26.8580,80.9215
CDR-0012,8567890123,8678901234,2024-04-20,10:15:00,480,voice,CHN-T-0023,T Nagar Chennai,13.0418,80.2341
CDR-0013,7123456789,7234567890,2024-05-01,23:00:00,120,voice,KOL-T-0078,Park Street Kolkata,22.5516,88.3523
CDR-0014,7234567890,7345678901,2024-05-02,02:30:00,90,voice,KOL-T-0089,Howrah Kolkata,22.5958,88.2636
CDR-0015,7345678901,7123456789,2024-05-02,06:00:00,240,voice,KOL-T-0078,Park Street Kolkata,22.5516,88.3523
CDR-0016,6345678901,6456789012,2024-06-01,13:00:00,360,voice,PUN-T-0056,Koregaon Park Pune,18.5362,73.8940
CDR-0017,6456789012,6567890123,2024-06-02,17:45:00,200,voice,PUN-T-0056,Koregaon Park Pune,18.5362,73.8940
CDR-0018,6567890123,9123456780,2024-06-03,20:00:00,150,voice,PUN-T-0078,Hinjewadi Pune,18.5912,73.7390
CDR-0019,6789012345,6890123456,2024-06-20,09:30:00,500,voice,AMD-T-0034,SG Highway Ahmedabad,23.0300,72.5290
CDR-0020,6890123456,6567890123,2024-06-21,14:00:00,280,voice,AMD-T-0034,SG Highway Ahmedabad,23.0300,72.5290
CDR-0021,5012345678,5123456789,2024-07-01,21:00:00,600,voice,HYD-T-0045,Jubilee Hills Hyderabad,17.4325,78.4073
CDR-0022,5123456789,5234567890,2024-07-02,10:30:00,350,voice,HYD-T-0056,Banjara Hills Hyderabad,17.4156,78.4347
CDR-0023,5234567890,5345678901,2024-07-03,15:00:00,200,voice,HYD-T-0045,Jubilee Hills Hyderabad,17.4325,78.4073
